Invoice Date,Invoice ID,Invoice Status,Customer Name,Due Date,SubTotal,Total,Last Payment Date,Payment Terms,Payment Terms Label,Item Name,,Item Total,Item Price,Recurrence Name,Billing Attention,Item Tax Amount,Item Tax Type
2023-09-08,510492000000125901,Closed,Patrick Shoes Limited,2023-09-13,395,474,2023-09-12,5,,Web Development,,395,395,,Mr. Noain Bakshi,79,ItemAmount
2024-01-18,510492000000126333,Closed,Patrick Shoes Limited,2024-01-23,199,238.8,2024-02-16,5,,SEO (Search Engine Optimization),,199,199,,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2024-01-19,510492000000126345,Closed,NOMADS CLOTHING LIMITED,2024-01-24,199,238.8,2024-01-26,5,,SEO (Search Engine Optimization),,199,199,,Mr. Andrew Davis,39.799999999999997,ItemAmount
2024-02-01,510492000000126441,Closed,Patrick Shoes Limited,2024-02-06,395,474,2024-02-29,5,,Web Development,,395,395,,Mr. Noain Bakshi,79,ItemAmount
2024-02-20,510492000000126477,Closed,NOMADS CLOTHING LIMITED,2024-02-25,199,238.8,2024-04-22,5,,SEO (Search Engine Optimization),,199,199,,Mr. Andrew Davis,39.799999999999997,ItemAmount
2024-03-20,510492000000126609,Closed,NOMADS CLOTHING LIMITED,2024-03-25,199,238.8,2024-04-22,5,,SEO (Search Engine Optimization),,199,199,,Mr. Andrew Davis,39.799999999999997,ItemAmount
2024-03-20,510492000000126621,Closed,Patrick Shoes Limited,2024-03-25,398,477.6,2024-04-18,5,,SEO (Search Engine Optimization),,398,398,,Mr. Noain Bakshi,79.599999999999994,ItemAmount
2024-04-20,510492000000126741,Closed,NOMADS CLOTHING LIMITED,2024-04-25,199,238.8,2024-07-05,5,,SEO (Search Engine Optimization),,199,199,,Mr. Andrew Davis,39.799999999999997,ItemAmount
2024-04-20,510492000000126753,Closed,Patrick Shoes Limited,2024-04-25,398,477.6,2024-05-23,5,,SEO (Search Engine Optimization),,398,398,,Mr. Noain Bakshi,79.599999999999994,ItemAmount
2024-04-30,510492000000126789,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2024-05-05,599,718.8,2024-05-13,5,,Web Development,,599,599,,Mr. Andrew Davis,119.8,ItemAmount
2024-04-08,510492000000126861,Closed,SUPERHOUSE (UK) LIMITED,2024-04-13,395,474,2024-05-21,5,,Web Development,,395,395,,Mr. Akbar Waris,79,ItemAmount
2024-05-20,510492000000126921,Closed,NOMADS CLOTHING LIMITED,2024-05-25,199,238.8,2024-07-05,5,,SEO (Search Engine Optimization),,199,199,,Mr. Andrew Davis,39.799999999999997,ItemAmount
2024-05-20,510492000000126933,Closed,Patrick Shoes Limited,2024-05-25,398,477.6,2024-07-15,5,,SEO (Search Engine Optimization),,398,398,,Mr. Noain Bakshi,79.599999999999994,ItemAmount
2024-06-20,510492000000127029,Closed,NOMADS CLOTHING LIMITED,2024-06-25,199,238.8,2024-07-02,5,,SEO (Search Engine Optimization),,199,199,,Mr. Andrew Davis,39.799999999999997,ItemAmount
2024-06-20,510492000000127041,Closed,Patrick Shoes Limited,2024-06-25,398,477.6,2024-08-22,5,,SEO (Search Engine Optimization),,398,398,,Mr. Noain Bakshi,79.599999999999994,ItemAmount
2024-07-20,510492000000127197,Closed,NOMADS CLOTHING LIMITED,2024-07-25,199,238.8,2024-07-20,5,,SEO (Search Engine Optimization),,199,199,,Mr. Andrew Davis,39.799999999999997,ItemAmount
2024-07-20,510492000000127209,Closed,Patrick Shoes Limited,2024-07-25,398,477.6,2024-08-22,5,,SEO (Search Engine Optimization),,398,398,,Mr. Noain Bakshi,79.599999999999994,ItemAmount
2024-08-20,510492000000127365,Closed,NOMADS CLOTHING LIMITED,2024-08-25,199,238.8,2024-10-14,5,,SEO (Search Engine Optimization),,199,199,,Mr. Andrew Davis,39.799999999999997,ItemAmount
